ds,yhat
2008-07-01,23.487986750896194
2008-08-01,23.678910738864186
2008-09-01,23.894066985788275
2008-10-01,24.79016885838649
2008-11-01,25.38689688794615
2008-12-01,26.721150795872358
2009-01-01,28.005049511107877
2009-02-01,22.34046238413514
2009-03-01,23.55225197401137
2009-04-01,23.918890296122814
2009-05-01,24.79298453177025
2009-06-01,24.487436683757075
2009-07-01,25.628799956366148
2009-08-01,25.92828380468332
2009-09-01,26.042849584893894
2009-10-01,26.91871324507293
2009-11-01,27.48717941756886
2009-12-01,28.814334449057462
2010-01-01,30.24820953088223
2010-02-01,24.702515692449456
2010-03-01,25.830285590801406
2010-04-01,25.645386633284524
2010-05-01,27.02623989925859
2010-06-01,26.837826801816956
2010-07-01,27.76814627478192
2010-08-01,28.176370408185665
2010-09-01,28.189283567494066
2010-10-01,29.045992690116236
2010-11-01,29.58778560758595
2010-12-01,30.91080203842388
